Time,Position X,Position Y,Position Z
0.35,-0.10,1.19,0.00
0.46,-0.10,0.79,0.00
0.56,-0.10,0.88,0.02
0.67,-0.09,0.87,0.03
0.78,-0.09,0.86,0.09
0.88,-0.09,0.87,0.18
0.99,-0.09,0.87,0.30
1.09,-0.08,0.87,0.44
1.19,-0.07,0.87,0.61
1.30,-0.04,0.87,0.86
1.41,0.00,0.87,1.09
1.51,0.04,0.87,1.36
1.63,0.10,0.87,1.72
1.73,0.14,0.87,2.05
1.83,0.20,0.87,2.40
1.94,0.28,0.87,2.78
2.05,0.40,0.87,3.28
2.16,0.54,0.87,3.81
2.27,0.68,0.87,4.28
2.38,0.89,0.87,4.87
2.50,1.07,0.87,5.39
2.60,1.26,0.87,5.95
2.71,1.52,0.87,6.64
2.82,1.82,0.87,7.36
2.93,2.11,0.87,7.97
3.03,2.19,0.92,8.30
3.14,2.30,0.93,8.66
3.25,2.40,0.88,8.95
3.35,2.55,0.84,9.29
3.46,2.80,0.86,9.75
3.56,3.01,0.88,10.16
3.68,3.23,0.87,10.60
3.78,3.45,0.87,11.08
3.89,3.70,0.87,11.70
3.99,3.90,0.87,12.25
4.10,4.11,0.87,12.96
4.21,4.28,0.87,13.59
4.31,4.42,0.87,14.25
4.41,4.58,0.86,14.92
